Words,Acceptability
অজ,-1
অন্তর,1
অন্ধকার,1
অর্থ,1
আকা,1
আকাশ,0
আগ,0
আগুন,1
আটা,-1
আটাশে,-1
আধার,0
আলো,1
আশা,1
এঁটে,1
কটা,1
কপাল,1
কপি,1
কফি,-1
কর,1
কর্ণ,1
কলা,1
কাঁটা,1
কাগজ,0
কাঞ্চন,0
কানা,1
কাপ,-1
কাপড়,1
কাল,1
কালা,1
কুঁজো,1
কুল,1
খারাপ,1
খুঁটি,0
খেলা,0
খোলা,1
গজ,1
গভীর,1
গলা,1
গা,0
গাছ,0
গান,0
গাল,1
গুণ,1
গুল,1
গুলি,1
গোছা,-1
গোলা,1
ঘন,1
ঘর,1
চটি,1
চা,0
চাঁদ,
চাঁদা,
চাকা,
চামড়া,
চাল,
চিঠি,
চিনি,
চিন্তা,
চোখ,
চড়া,
ছত্র,
ছবি,
ছানা,
ছানি,
ছায়া,
জমি,
জল,
জানালা,
জাম,
জাল,
জিন,
ঝড়,
ঝুল,
ঝোলা,
টিকা,
টোকা,
ঠান্ডা,
ডাক,
ডাল,
ডিম,
ঢাকা,
ঢাল,
তা,
তাড়া,
তার,
তারা,
তাল,
তালা,
তুলা,
দম,
দরজা,
দল,
দাঁড়া,
দিক,
দুধ,
দৃষ্টি,
দেওয়া,
ধন,
ধরা,
ধারা,
ধোঁয়া,
নাচ,
নাম,
নীল,
নয়,
পটল,
পড়া,
পথ,
পদ,
পর,
পা,
পাকানো,
পাখা,
পাট,
পাটা,
পাড়া,
পাতা,
পাতি,
পাথর,
পান,
পানি,
পাল,
পালক,
পাহাড়,
পুষ্কর,
পেঁচ,
প্রকৃতি,
পড়া,
ফল,
ফিট,
ফুট,
ফুল,
ফেরি,
ফেলা,
বই,
বক,
বড়ো,
বন্ধ,
বয়স,
বর,
বরফ,
বর্ণ,
বর্তমান,
বল,
বসা,
বাঁশ,
বাজ,
বাজি,
বাটা,
বাড়ি,
বাতাস,
বার,
বাস,
বিরোধ,
বিল,
বিষয়,
বুক,
বৃষ্টি,
বৃহস্পতি,
বেল,
বেলা,
বোমা,
ভাঙ্গা,
ভাব,
ভালো,
মজা,
মটকা,
মণি,
মধু,
মহুরি,
মাংস,
মাটি,
মাঠ,
মাত,
মাথা,
মান,
মাল,
মিষ্টি,
মুখ,
মূল,
মেলা,
রং,
রাখা,
রাগ,
রাস্তা,
রূপ,
রূপা,
লতা,
লাই,
লাঠি,
শানা,
শিশু,
শীর্ষ,
সই,
সরা,
সামান্য,
সার,
সারা,
সুতা,
সুদ,
সূর্য,
সোজা,
স্পষ্ট,
স্বপ্ন,
স্বামী,
হল,
হাওয়া,
হাত,
হাতা,
হার,
হিসাব,
