word,sentence,label
চাকা,গাড়ির চাকা ফেটে গেছে।,0
চাকা,রিকশার চাকা ঘুরছে দ্রুত।,0
চাকা,বাইসাইকেলের চাকা ঠিক করতে হবে।,0
চাকা,এই চাকার দাম অনেক বেশি।,0
চাকা,ট্রাকের পেছনের চাকা আলাদা।,0
চাকা,পায়ে একটি বড় চাকা হয়ে গেছে।,1
চাকা,চোট খেয়ে গায়ে চাকা উঠেছে।,1
চাকা,গরম জিনিসে ছুঁয়ে চাকা পড়েছে।,1
চাকা,মশার কামড়ে হাতে চাকা হয়েছে।,1
চাকা,আঙুলে চাকা আর ব্যথা দুটোই আছে।,1
চাল,২০০৬ সাল থেকে সরকার চাল আমদানী করছে আর ভর্তূকি দিচ্ছে,0
চাল,আমি মনে করি তিনি মায়ানমার সরকারের সাথে বর্তমান যে চাল রপ্তানী নীতি সেই বিষয়ে আলোচনা করতে এসেছেন,0
চাল,ত্রিশ বছর পূর্বে হাইতি চাল উৎপাদনে প্রায় স্বয়ংসম্পূর্ণ ছিল,0
চাল,গুঁড়া দুধ আমরা বহন করে নিয়ে যেতে পারি কিন্তু চাল আটা বাইরে থেকে নিয়ে আসা কষ্টকর,0
চাল,অনেক জায়গাতেই অনেক বেশি দুষিত চাল পাওয়া যায় তাহলে আমরা এটা পালাক্রমে কীভাবে খাবো,0
চাল,এটা আমাদের মতো পরীদের ৫ পাউন্ড কম দেখানোর একটা চাল,1
চাল,এটা কি নতুন কোন চাল,1
চাল,আমরা কিভাবে ধরে নিব যে এটা নতুন কোন চাল নয়,1
চাল,অবশ্য দক্ষিণ কোরিয়াতে উত্তর কোরিয়া থেকে পালিয়ে আসা লোকেরা সাবধান করে বলছেন যে এটা উত্তর কোরিয়ার নতুন লঘু চাল,1
চাল,এটা সার্বিয়ার কৌশলী চাল যার উদ্দেশ্য হচ্ছে চীনের সাথে কৌশলগত সম্পর্ক বজায় রাখা,1
অন্তর,বুক পিষ্ট হয়েছে বা দিকে ফুসফুস ধ্বসে পড়েছে এবং উনার অন্তর বুকের ডানদিকে চলে এসেছে,0
অন্তর,আমার অন্তর ভেঙ্গে খান খান হয়ে গিয়েছিল,0
অন্তর,শব্দগুলো অন্তর দিয়ে উচ্চারণ করবে,0
অন্তর,আমি অন্তর থেকে দেশবাসীকে প্রণাম জানাচ্ছি।,0
অন্তর,আর তাকে বলবে আমি তার জন্য অন্তর থেকে প্রার্থনা করছি,0
অন্তর,এই দুই মতের মধ্যে অনেক অন্তর আছে।,1
অন্তর,ভালো আর খারাপের অন্তর বুঝতে শেখো।,1
অন্তর,তারা দেখতে এক হলেও স্বভাবের অন্তর রয়েছে।,1
অন্তর,সত্য ও মিথ্যার মধ্যে সূক্ষ্ম অন্তর থাকে।,1
অন্তর,শিক্ষার মানে অনেক অন্তর দেখা যায় শহর ও গ্রামের মধ্যে।,1
অন্ধকার,এখন সন্ধ্যা ৬টা অন্ধকার আর আমি কি বলেছি যে এখন খুব ঠান্ডা পড়েছে,0
অন্ধকার,মাত্র কয়েক মিনিটের মধ্যে আকাশ অন্ধকার ও হলুদে বর্ণে রূপান্তরিত হল,0
অন্ধকার,অন্ধকার পাহাড়ের উপর জ্বলতে থাকা শত শত আগুনের শিখাকে স্পষ্ট করল,0
অন্ধকার,মেঘের কারণে চারদিক অন্ধকার।,0
অন্ধকার,টর্চ না থাকলে অন্ধকারে চলা যায় না।,0
অন্ধকার,অশিক্ষার অন্ধকার এখনো অনেক জায়গায় বিদ্যমান।,1
অন্ধকার,সে এখনো জীবনের সত্য সম্পর্কে অন্ধকারে রয়েছে।,1
অন্ধকার,ধর্মান্ধতার অন্ধকার আমাদের সমাজকে গ্রাস করছে।,1
অন্ধকার,মনের অন্ধকার দূর করতে জ্ঞান দরকার।,1
অন্ধকার,সে অন্ধকার যুগে জন্মেছিল।,1
অর্থ,আসুন আমরা দেখি এর অর্থ কি,0
অর্থ,এই হাসপাতালে যদি আপনি ঔষধ না কিনতে পারেন তার অর্থ হচ্ছে স্রেফ মৃত্যুর জন্য অপেক্ষা করা,0
অর্থ,এটার অর্থ হচ্ছে আমি অবিচার মেনে নিতে পারিনা,0
অর্থ,এখনো ওপেন ভিডিওর অর্থ আপনার কাছে পরিষ্কার নয়,0
অর্থ,নোট আরবিতে শুকরান অর্থ ধন্যবাদ,0
অর্থ,স্বেচ্ছাসেবী তাদের সময় দেয়ার জন্য আর যারা দান করেছেন তাদের অর্থ দেয়ার জন্য,1
অর্থ,ইজরায়েল নিজেই অনেক সময় শ্রম আর অর্থ ব্যায় করে গাজাবাসীদের সাহায্যের জন্য,1
অর্থ,দেখুন প্রিয় প্রেসিডেন্ট কত অর্থ সঞ্চয় হতে পারে যদি আমরা এটা সারাদেশে প্রয়োগ করি,1
অর্থ,আমি বলি কি মৃতপ্রায় রোগীর দিকে কিছু অর্থ ছুঁড়ে দিয়ে আমরা আবার কথা বলি,1
অর্থ,কোথায় সেই আরব আর তাদের অর্থ,1
আকা,দেয়ালে সুন্দর একটি ছবি আকা হয়েছে।,0
আকা,সে কাগজে একটি পাখি আকা।,0
আকা,বাচ্চাটি রংপেন দিয়ে ফুল আকা।,0
আকা,স্কুলে সবাইকে বাংলাদেশ আকা বলতে বলা হয়েছিল।,0
আকা,ছেলেটি খাতা ভরে আকা করছে।,0
আকা,লেখক তার উপন্যাসে একটি নিখুঁত চরিত্র আকা।,1
আকা,কবিতায় প্রেমের রূপ সুন্দরভাবে আকা হয়েছে।,1
আকা,ইতিহাস বইয়ে যুদ্ধের ভয়াবহতা আকা হয়েছে।,1
আকা,সংবাদে ঘটনার বিস্তারিত চিত্র আকা হয়েছে।,1
আকা,বক্তা ভবিষ্যতের একটি স্বপ্নময় দৃশ্য আকা করলেন।,1
আগুন,আমি প্রথমে আগুন লেগেছে ভেবে ভয় পেয়েছিলাম,0
আগুন,কিছু কয়েদী দাবীদাওয়া নিয়ে বিক্ষুব্ধ হয়ে ওঠে এবং কারা অভ্যন্তরে আগুন জ্বালিয়ে দেয়,0
আগুন,নেপালে বনে আগুন ধরে গেছে আর সব সময় বৃষ্টি হয় এমন জায়গায় অনাবৃষ্টির খবর পাওয়া গেছে,0
আগুন,গতকাল অনেক গরমের কারণে আমি মনে করেছিলাম সেটা কোন বন্য আগুন থেকে আসছিল,0
আগুন,এ রকম পরিস্থতিতে চীনও যুক্তরাষ্ট্রের পশ্চাৎ ভূমিতে আগুন লাগতে পারে,0
আগুন,তার চোখে আগুন জ্বলছিল।,1
