Words,Acceptability
অজ,-1
অন্তর,1
অন্ধকার,1
অর্থ,1
আকা,1
আকাশ,0
আগ,0
আগুন,1
আটা,-1
আটাশে,-1
আধার,0
আলো,1
আশা,1
এঁটে,1
কটা,1
কপাল,1
কপি,1
কফি,-1
কর,1
কর্ণ,1
কলা,1
কাঁটা,1
কাগজ,0
কাঞ্চন,0
কানা,1
কাপ,-1
কাপড়,1
কাল,1
কালা,1
কুঁজো,1
কুল,1
খারাপ,1
খুঁটি,0
খেলা,0
খোলা,1
গজ,1
গভীর,1
গলা,1
গা,0
গাছ,0
গান,0
গাল,1
গুণ,1
গুল,1
গুলি,1
গোছা,-1
গোলা,1
ঘন,1
ঘর,1
চটি,1
চা,0
চাঁদ,1
চাঁদা,0
চাকা,1
চামড়া,1
চাল,1
চিঠি,1
চিনি,1
চিন্তা,1
চোখ,1
চড়া,1
ছত্র,1
ছবি,1
ছানা,1
ছানি,1
ছায়া,1
জমি,1
জল,1
জানালা,1
জাম,1
জাল,1
জিন,1
ঝড়,0
ঝুল,1
ঝোলা,1
টিকা,1
টোকা,1
ঠান্ডা,1
ডাক,1
ডাল,1
ডিম,1
ঢাকা,1
ঢাল,1
তা,0
তাড়া,1
তার,1
তারা,1
তাল,1
তালা,1
তুলা,1
দম,1
দরজা,1
দল,1
দাঁড়া,1
দিক,1
দুধ,1
দৃষ্টি,1
দেওয়া,0
ধন,1
ধরা,1
ধারা,1
ধোঁয়া,1
নাচ,1
নাম,1
নীল,1
নয়,1
পটল,0
পড়া,1
পথ,1
পদ,1
পর,1
পা,1
পাকানো,1
পাখা,1
পাট,1
পাটা,1
পাড়া,1
পাতা,1
পাতি,1
পাথর,1
পান,1
পানি,1
পাল,1
পালক,1
পাহাড়,1
পুষ্কর,1
পেঁচ,1
প্রকৃতি,1
ফল,1
ফিট,1
ফুট,1
ফুল,1
ফেরি,1
ফেলা,1
বই,0
বক,1
বড়ো,1
বন্ধ,1
বয়স,0
বর,1
বরফ,1
বর্ণ,1
বর্তমান,1
বল,1
বসা,1
বাঁশ,1
বাজ,1
বাজি,1
বাটা,1
বাড়ি,1
বাতাস,1
বার,1
বাস,1
বিরোধ,1
বিল,1
বিষয়,0
বুক,1
বৃষ্টি,1
বৃহস্পতি,1
বেল,1
বেলা,1
বোমা,0
ভাঙ্গা,1
ভাব,1
ভালো,1
মজা,1
মটকা,1
মণি,1
মধু,1
মহুরি,0
মাংস,-1
মাটি,1
মাঠ,0
মাত,1
মাথা,1
মান,1
মাল,1
মিষ্টি,1
মুখ,1
মূল,1
মেলা,1
রং,1
রাখা,1
রাগ,1
রাস্তা,1
রূপ,1
রূপা,0
লতা,1
লাই,1
লাঠি,1
শানা,-1
শিশু,0
শীর্ষ,1
সই,1
সরা,1
সামান্য,1
সার,1
সারা,1
সুতা,1
সুদ,-1
সূর্য,0
সোজা,1
স্পষ্ট,1
স্বপ্ন,1
স্বামী,1
হল,1
হাওয়া,1
হাত,1
হাতা,1
হার,1
হিসাব,1
